id,name,slug,type,status,description,short_description,sku,price,sale_price,stock_quantity,stock_status,manage_stock,weight,length,width,height,tax_class,shipping_class,featured,sold_individually,min_purchase_quantity,max_purchase_quantity,backorders,catalog_visibility,categories,tags,brands,image_url,gallery_image_urls,variation_parent_sku,variation_attributes,bundled_items_json,grouped_children_skus,upsell_skus,cross_sell_skus,related_skus,downloadable_files_json,external_url,external_button_text
,"Pulse Pro 14"" Laptop Series 0001",pulse-pro-14-laptop-series-0001,physical,publish,"Crafted with care, 15.6-inch 2.5K display with 100% DCI-P3 colour coverage and 400-nit brightness. 8GB LPDDR5X memory, 128GB NVMe SSD, and a Nimbus N7 mobile chip. Thunderbolt 4, Wi-Fi 7, an HD IR webcam with hardware shutter, and up to 12 hours on a charge in a sub-1.5kg machined-aluminium chassis. Backed by a two-year warranty.","15.6"" 2.5K ultrabook with Nimbus N7 and 8GB RAM.",TJC-PC-LP-00001,1018.67,792.19,115,instock,1,1.32,32,22,1.6,,fragile,,,1,,,visible,"Electronics, Computing","laptop, computer, ultrabook",Quark Devices,https://loremflickr.com/1200/1200/laptop%2Ccomputer?lock=700001,https://picsum.photos/seed/tjc-pc-lp-00001-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-pc-lp-00001-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-pc-lp-00001-g3/1200/1200.jpg,,,,,,,,,,
,Stride Pro Foam Roller Mark III Model 0002,stride-pro-foam-roller-mark-iii-model-0002,physical,publish,"Designed to last, 4kg cast iron with a powder-coated finish and a soft-grip handle. Built to take a beating in a home gym; backed by a lifetime warranty. Designed in-house and made to last.","Studio-grade home-gym essential, lifetime warranty.",TJC-FIT-00002,133.22,93.78,208,instock,1,5.04,60,40,10,,,1,,1,,,visible,"Sports, Fitness","fitness, gym, strength",Veloce Sports,https://loremflickr.com/1200/1200/fitness%2Cgym%2Cequipment?lock=700002,https://picsum.photos/seed/tjc-fit-00002-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-fit-00002-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-fit-00002-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-fit-00002-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-fit-00002-g5/1200/1200.jpg,,,,,,,,,,
,Birchgrove Heritage Linen Sheet Set Ref. 00003,birchgrove-heritage-linen-sheet-set-ref-00003,physical,publish,"Engineered for daily use, OEKO-TEX certified 300-thread-count long-staple cotton with mitred hems and oversized envelope corners. Pre-washed for an instant lived-in feel and improved softness wash after wash. Backed by a two-year warranty.",300-TC OEKO-TEX certified long-staple cotton sheets.,TJC-BED-00003,396.49,,131,instock,1,2.78,35,30,12,,,,,1,,,visible,"Home & Kitchen, Bedding","bedding, sheets, home",Heritage Home,https://loremflickr.com/1200/1200/bedding%2Clinen%2Csheets?lock=700003,https://picsum.photos/seed/tjc-bed-00003-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00003-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00003-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00003-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00003-g5/1200/1200.jpg,,,,,,,,,,
,Verdant Apothecary Eau de Parfum Fresh Linen EDT 100ml Mk 0004,verdant-apothecary-eau-de-parfum-fresh-linen-edt-100ml-mk-0004,physical,publish,"Designed to last, Hand-blended in small batches by master perfumers in Grasse. Long-lasting projection from a sustainably-sourced base, with no synthetic musks or phthalates. 30-day no-questions returns.",Hand-blended small-batch parfum from Grasse.,TJC-FRG-00004,89.66,,227,instock,1,0.48,7,7,12,,fragile,,,1,,,visible,"Beauty, Fragrance","fragrance, perfume, beauty",Verdant Apothecary,https://loremflickr.com/1200/1200/perfume%2Cfragrance?lock=700004,https://picsum.photos/seed/tjc-frg-00004-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-frg-00004-g2/1200/1200.jpg,,,,,,,,,,
,Maple Bear Heirloom Wooden Puzzle (24 pcs) № 0005,maple-bear-heirloom-wooden-puzzle-24-pcs-no-0005,physical,publish,"Engineered for daily use, FSC-certified solid-beech blocks finished with non-toxic water-based stains and beeswax polish. 60 pieces in a cotton drawstring bag; tested to EN71 and CPSIA. Free carbon-neutral shipping over $50.",FSC beech blocks finished with non-toxic stains.,TJC-TKD-00005,141.38,103.38,179,instock,1,0.62,35,25,12,,,,,1,,,visible,"Toys, Kids","toys, kids, wooden",Sunbeam Play,https://loremflickr.com/1200/1200/kids%2Ctoy%2Cwooden?lock=700005,https://picsum.photos/seed/tjc-tkd-00005-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00005-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00005-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00005-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00005-g5/1200/1200.jpg,,,,,,,,,,
,Ochre & Pine Pro Linen Canvas (40×50cm) Plus S-0006,ochre-and-pine-pro-linen-canvas-40-50cm-plus-s-0006,physical,publish,"Engineered for daily use, Professional-grade lightfast pigments in a portable tin with a thumb-ring, a mixing palette, and a sable travel brush. ASTM I lightfast rating across the full range. Free carbon-neutral shipping over $50.",Lightfast ASTM I pigments in a travel tin.,TJC-ART-00006,52.88,,208,instock,1,1.48,30,22,5,,,,,1,,,visible,Art & Crafts,"art, craft, painting, supplies",Atelier Maple,https://loremflickr.com/1200/1200/art%2Csupplies%2Ccraft%2Cpainting?lock=700006,https://picsum.photos/seed/tjc-art-00006-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00006-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00006-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00006-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-art-00006-g5/1200/1200.jpg,,,,,,,,,,
,Trailwise Run Trail Runners Series 0007,trailwise-run-trail-runners-series-0007,physical,publish,"Made for everyday performance, Energy-return foam midsole, a breathable engineered-mesh upper, and a rubber outsole tuned for wet-road grip. Reflective heel detailing and a recycled-plastic lace system. Free carbon-neutral shipping over $50.",Energy-return running shoes with breathable upper.,TJC-SHS-00007,315.64,217.3,88,instock,1,0.73,32,22,13,,,,,1,,,visible,"Clothing, Shoes","shoes, sneakers, running",Apex Footwear,https://loremflickr.com/1200/1200/shoes%2Csneakers?lock=700007,https://picsum.photos/seed/tjc-shs-00007-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-shs-00007-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-shs-00007-g3/1200/1200.jpg,,,,,,,,,,
,Nimbus Pulse Bluetooth Speaker Air Model 0008,nimbus-pulse-bluetooth-speaker-air-model-0008,physical,publish,"Crafted with care, 113dB room-filling sound from a passive-radiator design with a tuned bass port. Bluetooth 5.3, Wi-Fi multi-room streaming, and a 16-hour battery. IP67 dust and water rating means it goes from kitchen to poolside without a second thought. Backed by a two-year warranty.",Portable 113dB Bluetooth speaker with 16h playback.,TJC-AUD-SP-00008,369.94,273.97,123,instock,1,1.9,22,12,14,,,,,1,,,visible,"Electronics, Audio","speaker, bluetooth, portable, audio",Pulse Audio,https://loremflickr.com/1200/1200/bluetooth%2Cspeaker?lock=700008,https://picsum.photos/seed/tjc-aud-sp-00008-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-aud-sp-00008-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-aud-sp-00008-g3/1200/1200.jpg,,,,,,,,,,
,Lumin Coastal 400-TC Cotton Sheet Set Ref. 00009,lumin-coastal-400-tc-cotton-sheet-set-ref-00009,physical,publish,"Designed to last, OEKO-TEX certified 300-thread-count long-staple cotton with mitred hems and oversized envelope corners. Pre-washed for an instant lived-in feel and improved softness wash after wash. Backed by a two-year warranty.",300-TC OEKO-TEX certified long-staple cotton sheets.,TJC-BED-00009,211.5,179.5,60,instock,1,2.73,35,30,12,,,,,1,,,visible,"Home & Kitchen, Bedding","bedding, sheets, home",Stoneward Kitchen,https://loremflickr.com/1200/1200/bedding%2Clinen%2Csheets?lock=700009,https://picsum.photos/seed/tjc-bed-00009-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00009-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00009-g3/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00009-g4/1200/1200.jpg|https://picsum.photos/seed/tjc-bed-00009-g5/1200/1200.jpg,,,,,,,,,,
,Sunbeam Play Heirloom Magnetic Tiles 100 pcs Plus Mk 0010,sunbeam-play-heirloom-magnetic-tiles-100-pcs-plus-mk-0010,physical,publish,"Made for everyday performance, FSC-certified solid-beech blocks finished with non-toxic water-based stains and beeswax polish. 60 pieces in a cotton drawstring bag; tested to EN71 and CPSIA. Independently lab-tested for safety and durability.",FSC beech blocks finished with non-toxic stains.,TJC-TKD-00010,100.44,,250,instock,1,2.17,35,25,12,,,,,1,,notify,visible,"Toys, Kids","toys, kids, wooden",Little Atlas,https://loremflickr.com/1200/1200/kids%2Ctoy%2Cwooden?lock=700010,https://picsum.photos/seed/tjc-tkd-00010-g1/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00010-g2/1200/1200.jpg|https://picsum.photos/seed/tjc-tkd-00010-g3/1200/1200.jpg,,,,,,,,,,
